profile,split,prefix_ratio,concurrency,isl,osl,turns,mean_ttft_ms,p99_ttft_ms,mean_itl_ms,p99_itl_ms,std_itl_ms,mean_e2e_latency_ms,p99_e2e_latency_ms,output_throughput_tok_s,request_throughput_rps,prefix_cache_reused_ratio,completed_requests,wall_time_ms
chat,2p_2d,0.6,128,512,256,3,152.80799139999903,270.11430800000016,6.808346985594667,7.21364100000028,0.27470871353427495,1888.9364727266645,2022.3848100000023,16050.647668242242,62.69784245407126,0.6239583333333333,600,60.237917
chat,2p_2d,0.9,8,512,256,3,26.285330933330425,33.175466,5.809105035290469,5.828936000005342,0.01470119611127407,1507.6071149335125,1514.4972500000088,1358.4441063680617,5.306422290500241,0.8735416666666667,600,69.637625
chat,2p_2d,0.9,32,512,256,3,38.53064080000007,45.579426000000005,5.9451233273782975,6.026069999999891,0.05883796064766874,1554.537089280007,1562.0541559999936,5201.082157429764,20.316727177460017,0.8735416666666667,600,80.265792
chat,2p_2d,0.9,128,512,256,3,67.20744205333445,100.161299,6.449631038849993,6.807705000000169,0.2203272549784975,1711.8633569600106,1756.300345999999,17538.39136371081,68.50934126449535,0.8735416666666667,600,79.054126
chat,1p_3d,0.2,8,512,256,3,32.39881368833235,77.54685899998731,5.822629809561438,5.845390000002226,0.015756799380581516,1517.1694151266704,1564.2346149999894,1348.2750875110794,5.266699560590154,0.24958333333333332,600,105.488833
chat,1p_3d,0.2,32,512,256,3,61.990055506667076,264.13839299999995,6.0351452263212195,6.108005999999932,0.039288689676926225,1600.9520882183406,1805.6462899999942,5021.37025351466,19.614727552791642,0.24958333333333332,600,82.329834
chat,1p_3d,0.2,128,512,256,3,215.17364861000064,1026.2589580000006,6.805683648391757,7.030381000000034,0.19055681653096318,1950.6229789500105,2775.6167750000013,15499.075786074609,60.54326478935394,0.24958333333333332,600,69.02825
chat,1p_3d,0.6,8,512,256,3,30.099733570021606,58.10839900000519,5.805699488672601,5.825644000000466,0.012601541270870596,1510.5531031832206,1539.8426119999872,1354.6453498603028,5.291583397891808,0.6239583333333333,600,96.72254199999999
chat,1p_3d,0.6,32,512,256,3,52.413022213332816,141.4068810000024,5.943972042799936,6.009669000000031,0.036011193111476075,1568.125893126659,1659.4692480000272,5129.904470375935,20.038689337405994,0.6239583333333333,600,105.727958
chat,1p_3d,0.6,128,512,256,3,152.61966547833293,519.247234999999,6.453207014064765,6.691164000000072,0.15432991511468486,1798.187454065003,2176.508035000002,16929.171205465835,66.12957502135092,0.6239583333333333,600,81.71054099999999
chat,1p_3d,0.9,8,512,256,3,29.2294073599941,44.36571899999694,5.794359518029451,5.812476999999944,0.011011742044677069,1506.7910844565852,1522.069114,1358.3143099515828,5.30591527324837,0.8735416666666667,600,99.87937500000001
chat,1p_3d,0.9,32,512,256,3,40.616562589999525,69.78414299998894,5.882913262137143,5.944015000000945,0.036554954189151556,1540.759444434986,1571.4624899999922,5229.1993699248615,20.42656003876899,0.8735416666666667,600,156.540751
chat,1p_3d,0.9,128,512,256,3,78.57349882333374,190.06211699999994,6.216742715471514,6.467098999999962,0.14129998345497255,1663.8428912683364,1783.5234200000016,18135.075377087807,70.84013819174925,0.8735416666666667,600,83.986541
rag,agg_4w,0.2,8,4096,512,1,140.3774114400018,157.17471,6.147245923685972,6.170196999999462,0.01497776852496097,3281.620078440485,3298.417376999997,1248.1639867179706,2.4378202865585363,0.1990625,200,71.446125
rag,agg_4w,0.2,32,4096,512,1,186.3075721799999,589.102412,7.890174408569832,7.316251000000193,9.727661436069607,4218.186694959961,4717.769747000019,3566.0320255898528,6.964906299980181,0.1990625,200,55.535084
rag,agg_4w,0.2,128,4096,512,1,887.1774265350002,2307.257064,13.077416179744056,177.8263179999999,20.010496720495606,7569.73709438501,9309.535375000038,7318.306399139714,14.293567185819754,0.1990625,200,48.875917
rag,agg_4w,0.6,8,4096,512,1,79.57986803999886,123.96167700000001,6.065367731899948,6.088352999999188,0.014999915109294522,3178.982779039957,3223.3645879999935,1288.4624688772199,2.51652825952582,0.581875,200,53.272875
rag,agg_4w,0.6,32,4096,512,1,147.90635465999995,337.09428,6.927862464106484,6.7527030000001105,5.583432682308275,3688.044073819975,3844.0427720000152,4034.0486932248414,7.879001353954768,0.581875,200,38.213708
rag,agg_4w,0.6,128,4096,512,1,525.9782479600003,1200.228592,9.736951100932844,9.330294000000322,13.851826867823734,5501.560260540034,6421.183899000042,9927.159965924651,19.388984308446584,0.581875,200,35.149583
